Country or Territory,f1,f2,Inf,Prev,Act,DR,DRsi,TPsi,CFsi,ACsi,CovTI
Afghanistan,5.32,8.06,"            133,112 ",0.343%,89.6%,12.4%,46.2,1.8,72.1,10.4,35.3
Albania,6.06,1.54,"                7,048 ",0.245%,20.6%,16.5%,56.2,46.2,70.0,79.4,61.6
Algeria,23.24,5.0,"            223,678 ",0.511%,30.0%,4.3%,19.4,20.0,37.1,70.0,33.2
Argentina,5.73,2.23,"            105,049 ",0.233%,65.7%,17.4%,58.2,32.7,53.7,34.3,47.4
Armenia,3.77,3.34,"              37,689 ",1.272%,64.2%,26.6%,73.5,18.8,72.9,35.8,54.9
Aruba,7.86,1.0,                   794 ,0.744%,0.0%,12.7%,47.1,62.3,74.3,100.0,66.1
Australia,1.5,1.0,"              10,811 ",0.042%,6.8%,66.8%,96.5,95.3,85.9,93.2,93.5
Austria,6.18,1.0,"            103,635 ",1.151%,2.8%,16.2%,55.5,69.3,66.3,97.2,68.7
Azerbaijan,3.91,1.0,"              23,235 ",0.229%,38.8%,25.5%,72.1,82.6,82.3,61.2,74.1
Bahamas,31.15,1.0,"                3,177 ",0.809%,41.2%,3.2%,14.8,61.5,16.0,58.8,33.2
Bahrain,3.31,1.0,"              40,785 ",2.408%,39.7%,30.2%,77.9,68.9,97.5,60.3,76.5
Bangladesh,3.27,3.15,"            171,521 ",0.104%,77.4%,30.6%,78.3,20.7,76.3,22.6,55.2
Belarus,3.53,1.57,"            156,362 ",1.655%,56.1%,28.3%,75.7,45.6,89.6,43.9,66.1
Belgium,29.84,1.33,"         1,748,920 ",15.098%,56.6%,3.4%,15.4,51.5,3.9,43.4,25.9
Benin,3.61,1.0,                   881 ,0.007%,38.1%,27.7%,75.0,93.2,82.0,61.9,77.4
Bolivia,9.42,7.46,"              99,223 ",0.851%,85.9%,10.6%,41.2,2.4,52.1,14.1,30.2
Bosnia and Herzegovina,17.25,1.0,"              43,718 ",1.332%,18.5%,5.8%,25.2,68.4,46.8,81.5,49.4
Brazil,10.09,11.97,"         6,663,977 ",3.138%,51.2%,8.4%,34.1,0.3,32.5,48.8,30.0
Brunei,3.95,1.0,                   557 ,0.127%,0.7%,25.3%,71.8,93.1,86.7,99.3,84.5
Bulgaria,11.93,1.0,"              30,282 ",0.435%,50.1%,8.4%,34.2,73.6,32.2,49.9,44.8
Burkina Faso,18.59,5.0,"              16,379 ",0.079%,12.3%,5.4%,23.6,20.0,50.4,87.7,41.1
Cabo Verde,3.26,7.13,"                3,323 ",0.598%,48.1%,14.0%,50.4,2.8,81.3,51.9,47.4
Cambodia,2.93,1.0,                   366 ,0.002%,1.6%,34.2%,81.9,94.2,100.0,98.4,91.3
Cameroon,10.21,5.0,"              67,206 ",0.254%,41.1%,9.8%,38.7,20.0,59.7,58.9,43.2
Canada,8.31,1.07,"            767,749 ",2.036%,37.5%,12.0%,45.2,58.5,27.8,62.5,47.8
Central African Republic,3.96,1.42,"                4,231 ",0.088%,97.5%,25.3%,71.7,49.1,92.8,2.5,57.6
Chad,30.08,5.0,"              24,153 ",0.148%,21.8%,3.3%,15.3,20.0,35.0,78.2,32.8
Channel Islands,21.74,1.09,"              12,172 ",7.008%,0.0%,4.6%,20.5,57.9,44.9,100.0,48.8
Chile,1.76,3.55,"            385,548 ",2.019%,57.6%,28.2%,75.6,17.0,80.4,42.4,58.2
China,18.72,5.0,"         1,553,780 ",0.108%,0.1%,5.3%,23.4,20.0,57.2,99.9,44.8
Colombia,7.03,1.82,"            223,705 ",0.440%,61.8%,14.2%,50.9,40.3,53.1,38.2,46.7
Comoros,5.2,5.0,                   687 ,0.079%,78.0%,19.2%,61.7,20.0,73.9,22.0,47.9
Congo (Brazzaville),11.91,5.0,"                7,277 ",0.132%,67.4%,8.4%,34.3,20.0,52.0,32.6,34.6
Congo (Democratic Republic),8.48,5.0,"              28,197 ",0.032%,83.3%,11.8%,44.6,20.0,64.9,16.7,38.1
Costa Rica,1.8,1.0,"                1,984 ",0.039%,37.4%,55.7%,93.8,66.7,86.5,62.6,80.7
Croatia,3.22,2.15,"                9,747 ",0.037%,49.3%,31.0%,78.8,34.1,80.6,50.7,64.6
Cuba,9.13,1.0,"              20,496 ",0.499%,2.4%,11.0%,42.2,71.6,62.5,97.6,63.2
Côte d'Ivoire,14.54,1.0,"              30,411 ",0.268%,8.7%,6.9%,29.1,82.4,64.8,91.3,59.3
Cyprus,3.69,1.0,"                3,508 ",0.291%,15.2%,27.1%,74.3,92.2,81.0,84.8,81.3
Czech Republic,6.79,1.0,"              63,602 ",0.594%,25.1%,14.7%,52.1,81.1,63.1,74.9,64.7
Denmark,5.75,1.0,"              67,454 ",1.165%,5.7%,17.4%,58.1,83.4,59.2,94.3,70.6
Djibouti,3.6,2.49,"              13,618 ",1.381%,56.8%,27.8%,75.0,28.8,87.6,43.2,61.9
Dominican Republic,7.02,4.19,"            124,620 ",1.150%,34.7%,14.2%,50.9,12.3,64.1,65.3,48.7
Ecuador,17.55,6.81,"            709,294 ",4.027%,42.0%,5.7%,24.8,3.3,23.1,58.0,26.8
Egypt,12.37,4.08,"            340,532 ",0.334%,71.4%,8.1%,33.3,13.0,46.6,28.6,30.9
El Salvador,3.6,1.0,"                9,548 ",0.147%,56.2%,27.8%,75.1,75.5,70.7,43.8,68.0
Equatorial Guinea,3.97,3.16,"                5,181 ",0.371%,83.8%,25.2%,71.6,20.6,83.2,16.2,52.7
Estonia,5.8,1.0,"              10,838 ",0.817%,9.1%,17.3%,57.8,80.3,67.0,90.9,70.8
